epoch, loss, acc, val_loss, val_acc
1, 0.5225701928138733, 0.8144833445549011, 0.389202356338501, 0.8632000088691711
2, 0.36913418769836426, 0.8671833276748657, 0.32848653197288513, 0.8823000192642212
3, 0.33295923471450806, 0.8793833255767822, 0.30414026975631714, 0.8925999999046326
4, 0.3102717697620392, 0.8856833577156067, 0.28773635625839233, 0.8924999833106995
5, 0.28909164667129517, 0.8946999907493591, 0.279620885848999, 0.8956999778747559
6, 0.27317705750465393, 0.899066686630249, 0.26812225580215454, 0.9035000205039978
7, 0.2584347724914551, 0.9051166772842407, 0.2627188265323639, 0.9031000137329102
8, 0.2485312968492508, 0.9076666831970215, 0.2549319267272949, 0.9072999954223633
9, 0.2382890284061432, 0.911383330821991, 0.2512660622596741, 0.9089999794960022
10, 0.22768747806549072, 0.916949987411499, 0.2442721426486969, 0.9097999930381775
